affiliation,type,affiliation_QID,city,state_province,country,coordinate-location,lat,long,street-address
"Abiquiú, NM",City of Residence,Q321422,Abiquiú,NM,USA,"36.209444444444,-106.31861111111",36.209444444444,-106.31861111111,
Academia Nacional de Ciencias de Bolivia,Institution,Q30266822,La Paz,,Bolivia,"-16.501561,-68.132522",-16.501561,-68.132522,
Academia Sinica Institute of History and Philology,Institution,Q10875097,Taipei,,Taiwan,"25.039736113080163,121.61640101083897",25.039736113080163,121.61640101083897,
Académie de France à Rome,Institution,Q337494,Rome,,Italy,"41.908333,12.4825",41.908333,12.4825,
"Academy of Arts, Architecturem, and Design, Prague",Institution,Q414309,Prague,,Czech Republic,"50.088611,14.414722",50.088611,14.414722,
Academy of Motion Picture Arts and Sciences,Institution,Q212329,Beverly Hills,CA,USA,"34.067222,-118.3875",34.067222,-118.3875,
Academy of Sciences of the USSR,Institution,Q2370801,Moscow,,Russia,"55.720611,37.5935",55.720611,37.5935,
Accademia delle arti del disegno,Institution,Q1760178,Florence,,Italy,"43.776907,11.258475",43.776907,11.258475,
Accademia di Belle Art di Firenze,Institution,Q4585397,Florence,,Italy,"43.776907, 11.258475",43.776907, 11.258475,
Accademia di Belle Arti di Bologna,Institution,Q2822373,Bologna,,Italy,"44.497811, 11.353189",44.497811, 11.353189,
Accademia di Belle Arti di Roma,Institution,Q338481,Rome,,Italy,"41.9075, 12.4756",41.9075, 12.4756,
Adam Mickiewicz University,Institution,Q348402,Poznań,,Poland,"52.4047, 16.9155",52.4047, 16.9155,
"Afton, MN",City of Residence,Q692740,Afton,MN,USA,"44.902777777778,-92.783333333333",44.902777777778,-92.783333333333,
Akademie der Wissenschaften der DDR,Institution,Q49738,Berlin,,Germany,"52.513333,13.393056",52.513333,13.393056,
Akademie věd České republiky,Institution,Q374686,Prague,,Czech Republic,"50.081667,14.414167",50.081667,14.414167,
Albert-Ludwigs-Universität Freiburg,Institution,Q153987,Freiburg im Breisgau,,Germany,"47.994167,7.846944",47.994167,7.846944,
"Albuquerque, NM",City of Residence,Q34804,Albuquerque,NM,USA,"35.116667,-106.616667",35.116667,-106.616667,
"Alexandria, VA",Institution,Q88,Alexandria,VA,USA,"38.804722, -77.047222",38.804722, -77.047222,
American Academy in Rome,Institution,Q463271,Rome,,Italy,"41.887633,12.462644",41.887633,12.462644,
"American College, Paris",Institution,Q2716043,Paris,,France,"48.859,2.3037",48.859,2.3037,
American Federation of Arts,Institution,Q4743747,New York,NY,USA,"40.752920,-73.969140",40.752920,-73.969140,
American Overseas School of Rome,Institution,Q4744641,Rome,,Italy,"41.966389, 12.439167",41.966389, 12.439167,
American Research Center in Sofia Foundation,Institution,Q30270868,Sofia,,Bulgaria,"42.707839,23.347049",42.707839,23.347049,
American University,Institution,Q168000,Washington,DC,USA,"38.937055,-77.086922",38.937055,-77.086922,
American University of Beirut,Institution,Q469482,Beirut,,Lebanon,"33.899963888889,35.482283333333",33.899963888889,35.482283333333,
Amherst College,Institution,Q49165,Amherst,MA,USA,"42.370833333333,-72.516944444444",42.370833333333,-72.516944444444,
Amon Carter Museum,Institution,Q255559,Fort Worth,TX,USA,"32.748,-97.369",32.748,-97.369,
"Amsterdam, Netherlands",City of Residence,Q727,Amsterdam,,Netherlands,"52.37277777777778,4.893611111111111",52.37277777777778,4.893611111111111,
Anglia Ruskin University,Institution,Q540751,Cambridge,,United Kingdom,"2.203083,0.133694",2.203083,0.133694,
"Ann Arbor, MI",City of Residence,Q485172,Ann Arbor,MI,USA,"42.28138889,-83.74833333",42.28138889,-83.74833333,
Ansel Adams Center for Photography,Institution,Q130360416,San Francisco,CA,USA,"37.782505768426795,-122.40218823591448",37.782505768426795,-122.40218823591448,
Archaeological institute of America,Institution,Q632218,New York,NY,USA,"45.27488638174074,-65.07104756230702",45.27488638174074,-65.07104756230702,
"Architectural Association School of Architecture, London",Institution,Q634951,London,,United Kingdom,"51.518611,-0.131111",51.518611,-0.131111,
Architectural Club of Miami,Institution,Q126542001,Miami,FL,USA,"25.77766032969735,-80.13691480839431",25.77766032969735,-80.13691480839431,
Aristoteleio Panepistēmio Thessalonikēs,Institution,Q667568,Thessaloniki,,Greece,"40.63,22.958055555556",40.63,22.958055555556,
Arizona state university,Institution,Q670897,Tempe,AZ,USA,"33.42368,-111.93544",33.42368,-111.93544,
Arkansas State University,Institution,Q500131,Jonesboro,AR,USA,"35.841082,-90.679586",35.841082,-90.679586,
"Arlington, VA",City of Residence,Q107126,Arlington,VA,USA,"38.880277777778,-77.108333333333",38.880277777778,-77.108333333333,
Art Gallery of New South Wales,Institution,Q705551,Sydney,,Australia,"-33.8687, 151.217",-33.8687, 151.217,
Art Institute of Chicago,Institution,Q239303,Chicago,IL,USA,"41.879444444444445,-87.62388888888889",41.879444444444445,-87.62388888888889,
ArtEZ,Institution,Q705312,Arnhem,,Netherlands,"51.98399613367563,5.8943865238974",51.98399613367563,5.8943865238974,
Athena Research and Innovation Center In Information Communication & Knowledge Technologies,Institution,Q30252842,Marousi,,Greece,"38.036503,23.802516",38.036503,23.802516,
Australian National University,Institution,Q127990,Canberra,,Australia,"-35.2778,149.1205",-35.2778,149.1205,
Austrian Academy of Sciences,Institution,Q299015,Vienna,,Austria,"48.208888888888886,16.377055555555554",48.208888888888886,16.377055555555554,
"Austrian Institute, Rome",Institution,Q127606273,Rome,,Italy,"41.910999,12.465440",41.910999,12.465440,"Viale Giulio Cesare, 47, 00192 Roma RM, Italy"
Ayala Museum,Institution,Q2110963,Makati,,Philippines,"14.5536,121.023",14.5536,121.023,
"Bagneaux, France",City of Residence,Q1139720,Bagneaux,,France,"48.233056,3.594722",48.233056,3.594722,
Baird/Sampson Architects,Institution,Q127730692,Toronto,ON,Canada,"43.64735506622086,-79.39208448211635",43.64735506622086,-79.39208448211635,
Baltimore Museum of Art,Institution,Q377579,Baltimore,MD,USA,"39.325996, -76.619503",39.325996, -76.619503,
"Baltimore, MD",City of Residence,Q5092,Baltimore,MD,USA,"39.286388888889,-76.615",39.286388888889,-76.615,
"Banbury, England",City of Residence,Q806160,Banbury,,United Kingdom,"52.061388888889,-1.3391666666667",52.061388888889,-1.3391666666667,
Bard College,Institution,Q49109,Annandale-on-Hudson,NY,USA,"42.020278,-73.91",42.020278,-73.91,
Bard Graduate Center,Institution,Q4860041,New York,NY,USA,"40.785820, -73.971400",40.785820, -73.971400,
Barnard College,Institution,Q167733,New York,NY,USA,"40.809444444444445,-73.96333333333334",40.809444444444445,-73.96333333333334,
Baruch College,Institution,Q809633,New York,NY,USA,"40.740159,-73.98338",40.740159,-73.98338,
Bates College,Institution,Q810771,"Lewiston, Maine",ME,USA,"44.105555555556,-70.204166666667",44.105555555556,-70.204166666667,
"Bath, England",City of Residence,Q22889,Bath,,United Kingdom,"51.381389,-2.358611",51.381389,-2.358611,
